타임스탬프,최근 7일 동안 아침식사를 한 날이 몇 일 정도 되나요?,최근 12개월 동안 학업 성취도는 어땠나요?
2024. 11. 20 오전 9:19:45,4일 이상 7일 이하,상
2024. 11. 20 오전 9:37:28,1일 미만,중
2024. 11. 20 오전 10:41:47,1일 미만,하
2024. 11. 20 오전 11:45:46,4일 이상 7일 이하,상
2024. 11. 20 오후 12:48:33,4일 이상 7일 이하,중
2024. 11. 20 오후 2:05:12,4일 이상 7일 이하,상
2024. 11. 20 오후 3:09:19,4일 이상 7일 이하,중
2024. 11. 20 오후 4:22:48,1일 미만,하
2024. 11. 20 오후 5:16:51,1일 미만,중
2024. 11. 20 오후 6:30:07,1일 이상 3일 이하,중
2024. 11. 20 오후 7:40:32,1일 미만,하
2024. 11. 20 오후 8:55:51,1일 미만,상
2024. 11. 20 오후 10:20:15,1일 미만,중
2024. 11. 20 오후 11:12:28,4일 이상 7일 이하,상
2024. 11. 21 오전 9:32:10,4일 이상 7일 이하,상
2024. 11. 21 오전 10:24:32,4일 이상 7일 이하,상
2024. 11. 21 오전 11:11:05,4일 이상 7일 이하,상
2024. 11. 21 오후 12:39:56,4일 이상 7일 이하,하
2024. 11. 21 오후 1:48:29,4일 이상 7일 이하,중
2024. 11. 21 오후 2:50:44,1일 미만,중
2024. 11. 21 오후 3:55:28,1일 미만,하
2024. 11. 21 오후 4:48:19,1일 이상 3일 이하,중
2024. 11. 21 오후 5:40:39,1일 이상 3일 이하,하
2024. 11. 21 오후 6:15:02,4일 이상 7일 이하,상
2024. 11. 21 오후 7:25:44,4일 이상 7일 이하,하
2024. 11. 21 오후 8:30:27,4일 이상 7일 이하,중
2024. 11. 21 오후 9:45:34,1일 이상 3일 이하,중
2024. 11. 21 오후 10:12:56,1일 이상 3일 이하,상
2024. 11. 21 오후 11:15:29,1일 이상 3일 이하,하
2024. 11. 22 오전 9:41:38,1일 미만,하
2024. 11. 22 오전 10:17:54,1일 미만,중
2024. 11. 22 오전 11:23:40,1일 미만,하
2024. 11. 22 오후 12:51:16,4일 이상 7일 이하,상
2024. 11. 22 오후 2:05:43,4일 이상 7일 이하,상
2024. 11. 22 오후 3:25:56,4일 이상 7일 이하,중
2024. 11. 22 오후 4:20:10,1일 이상 3일 이하,하
2024. 11. 22 오후 5:44:27,1일 이상 3일 이하,중
2024. 11. 22 오후 6:55:08,4일 이상 7일 이하,상
2024. 11. 22 오후 8:01:02,4일 이상 7일 이하,하
2024. 11. 22 오후 9:12:14,1일 미만,하
2024. 11. 22 오후 10:14:39,1일 미만,하
2024. 11. 22 오후 11:32:18,1일 이상 3일 이하,하
2024. 11. 23 오전 9:25:11,1일 미만,중
2024. 11. 23 오전 10:40:08,4일 이상 7일 이하,상
2024. 11. 23 오전 11:44:59,4일 이상 7일 이하,하
2024. 11. 23 오후 12:47:56,1일 미만,하
2024. 11. 23 오후 2:09:17,4일 이상 7일 이하,상
2024. 11. 23 오후 3:21:03,1일 이상 3일 이하,하
2024. 11. 23 오후 4:35:12,1일 이상 3일 이하,중
2024. 11. 23 오후 5:46:49,4일 이상 7일 이하,상
2024. 11. 23 오후 6:57:31,1일 미만,하
2024. 11. 23 오후 7:59:01,4일 이상 7일 이하,하
2024. 11. 23 오후 9:15:12,1일 이상 3일 이하,상
2024. 11. 23 오후 10:34:48,1일 미만,하
2024. 11. 23 오후 11:47:23,4일 이상 7일 이하,상
2024. 11. 24 오전 9:32:54,1일 이상 3일 이하,중
2024. 11. 24 오전 10:14:21,1일 미만,중
2024. 11. 24 오전 11:40:10,1일 미만,하
2024. 11. 24 오후 12:43:09,1일 이상 3일 이하,하
2024. 11. 24 오후 2:06:52,1일 미만,하
2024. 11. 24 오후 3:16:51,1일 이상 3일 이하,하
2024. 11. 24 오후 4:27:03,1일 미만,중
2024. 11. 24 오후 5:42:35,4일 이상 7일 이하,상
2024. 11. 24 오후 6:59:09,1일 미만,하
2024. 11. 24 오후 8:13:45,1일 이상 3일 이하,하
2024. 11. 24 오후 9:33:22,1일 이상 3일 이하,상
2024. 11. 24 오후 10:40:09,4일 이상 7일 이하,상
2024. 11. 24 오후 11:58:43,1일 미만,하
2024. 11. 25 오전 9:23:56,4일 이상 7일 이하,하
2024. 11. 25 오전 10:12:18,1일 이상 3일 이하,하
2024. 11. 25 오전 11:30:32,1일 이상 3일 이하,중
2024. 11. 25 오후 12:46:09,1일 미만,하
2024. 11. 25 오후 1:59:29,1일 미만,중
2024. 11. 25 오후 3:06:47,1일 미만,하
2024. 11. 25 오후 4:11:55,4일 이상 7일 이하,하
2024. 11. 25 오후 5:31:03,4일 이상 7일 이하,상
2024. 11. 25 오후 6:45:37,1일 이상 3일 이하,중
2024. 11. 25 오후 7:50:02,4일 이상 7일 이하,상
2024. 11. 25 오후 9:02:44,1일 미만,하
2024. 11. 25 오후 10:14:56,4일 이상 7일 이하,상
2024. 11. 25 오후 11:24:49,1일 미만,하
2024. 11. 26 오전 9:11:26,4일 이상 7일 이하,중
2024. 11. 26 오전 10:38:05,4일 이상 7일 이하,상
2024. 11. 26 오전 11:47:16,1일 미만,중
2024. 11. 26 오후 12:39:44,1일 미만,하
2024. 11. 26 오후 1:52:11,1일 미만,중
2024. 11. 26 오후 3:15:01,1일 미만,하
2024. 11. 26 오후 4:19:57,1일 미만,하
2024. 11. 26 오후 5:33:42,4일 이상 7일 이하,상
2024. 11. 26 오후 6:48:32,1일 이상 3일 이하,하
